CName,CCode,IName,ICode,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Brazil,BRA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,4.758979085,4.852894942,4.569879671,4.573509562,4.928501711,5.605641346,5.993207395,6.061886943,8.665555277,8.667851308,11.23321198,10.13941002,9.045970923,10.83331398,10.23042778,9.808817252,8.744751734,12.61185006,8.098756216,12.38430548,9.829659356,NA
China,CHN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,81.53657014,82.42777771,81.69482346,80.33202317,79.521868,81.12920368,81.22651377,80.73915695,82.12058128,82.14110071,79.87813027,80.87812047,82.70901271,81.50171587,81.71654882,82.51712212,82.87196,80.37310816,80.38860056,79.19607008,80.90230625,NA
Ethiopia,ETH,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,10.50454921,7.252215955,8.676789588,6.685044797,6.483300589,5.801621959,2.973977695,2.903811252,1.155717762,1.3739546,0.944333996,1.02739726,0.696864111,0.708940528,0.421792619,0.305903946,4.567239921,12.3643103,11.12224449,0.62248996,0.639410967,NA
France,FRA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,13.35939887,10.91901808,7.309668876,7.033188814,7.767763324,8.419618154,7.681684103,10.63148724,9.737295385,9.241419708,8.247039184,9.230799785,9.920483047,9.631720081,10.79601328,9.712917652,9.987840243,9.518045195,9.296927402,9.858880399,8.530291658,8.347294128
Germany,DEU,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,68.6355272,65.76380249,65.92699914,65.86247275,65.41269561,65.12672261,63.68576543,65.01941616,63.17765974,63.15460246,62.69870731,62.79293552,63.7232916,62.16190899,62.87546582,61.63495332,62.9417072,61.39674372,59.41483818,59.27259806,60.10816392,59.88869702
India,IND,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,75.18019459,76.94709855,78.67877138,77.01965037,80.57870237,81.92752601,81.58334264,80.66967313,82.0003019,83.17998461,83.22957266,85.26100256,84.450592,83.77902014,81.78171397,80.84871657,79.85620173,81.65433865,82.23424703,80.89949091,79.41529748,NA
Indonesia,IDN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,79.44295661,76.16168429,80.2246696,84.34323767,83.5369047,84.46931664,89.66057861,84.23460365,85.87673864,84.04393249,82.52513481,85.0467117,86.53923436,86.39348219,86.37748292,87.74453827,87.10373677,86.69405837,86.67257797,84.04612967,87.94356961,NA
"Iran, Islamic Rep.",IRN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,88.99666282,86.12324538,87.10960055,90.9072034,91.42396536,91.86503351,92.91259653,93.19570092,95.61000737,96.96215673,96.08923098,94.27137246,92.77024656,93.60524329,90.9196577,90.45525789,91.11213515,97.57656272,96.63007634,95.83825202,94.72852047,NA
Israel,ISR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,99.97211118,99.88466433,99.90005766,99.91908247,99.91783073,99.92622422,99.92877493,99.93413253,99.91584853,99.9273341,99.95449478,99.92967033,99.90859038,99.91751095,99.91975639,99.95055184,99.9553837,99.57013773,99.33643603,99.69777687,99.41822449,99.4235267
Japan,JPN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,52.56402389,53.3469082,51.653643,52.93692862,51.93932212,52.0154214,52.30310024,52.07405068,55.07005046,56.01810895,56.83228397,59.21465934,63.00620563,60.00241495,59.27269224,59.23136577,63.045883,62.98162796,61.40723986,60.61875142,72.92189129,81.39132927
Nigeria,NGA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,58.1351027,59.15464474,61.58566012,64.18775353,65.31500284,66.13925999,65.29751194,61.78027796,61.78755672,61.78447749,61.78619931,61.78054215,63.09765644,66.59938208,66.99944773,72.89917785,72.90016538,72.89909995,77.09966122,75.59817771,79.1003921,NA
Pakistan,PAK,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,54.50384653,55.55418972,60.64249891,56.36448511,58.40897519,64.13699789,63.90475424,65.25493672,70.07145029,71.82972477,70.68617976,68.17737504,64.48843251,66.7837431,64.46201722,65.18454499,66.7847551,67.910855,67.51886792,62.69996718,64.53631191,NA
Saudi Arabia,SAU,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,73.40395347,70.34432413,69.06085237,68.5302698,68.42282771,67.67312143,69.40564968,68.30042836,71.80271394,73.71524118,81.10538403,83.69080544,86.7379085,86.99796716,86.57366401,85.61129667,85.67244863,84.13858962,72.56981233,70.21164925,69.79050452,NA
Somalia,SOM,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,7.728753331,18.07909605,4.599145514,6.7927969,7.288629738,28.21192053,33.00291545,31.11032905,32.51940492,54.19760137,53.98908716,61.81741216,57.10212545,63.86156648,62.77348777,51,59.93334007,55.03137849,60.35158212,46.70692058,59.11042418,NA
Sweden,SWE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,3.365312649,4.00038373,4.632797924,5.604064471,5.095318053,8.609299779,4.74846856,4.274801469,4.31418644,3.071658255,3.632538135,4.838445808,6.452994925,2.982732589,2.127364001,2.643663722,2.184474174,2.064792453,2.319112178,4.430823117,2.483128569,2.520099136
United Kingdom,GBR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,76.3642361,73.91042944,70.39248908,70.59047947,71.05257618,71.15108799,69.76487771,69.89079952,71.16851472,74.47692821,73.28149845,73.52026542,74.16865374,75.38635324,74.43004362,75.61262642,78.46227839,80.20140244,74.22900641,76.3977698,71.28140621,68.5455237
United States,USA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,68.8630645,69.54947369,70.14480233,70.26371519,68.81148525,68.48394684,70.52875372,71.28019842,70.64335903,71.59345088,72.19882824,70.98737606,71.28935205,71.38570134,72.10486012,71.32592173,71.96690313,71.39219416,69.45038092,70.2778942,68.41801635,68.82563303
Zambia,ZMB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.718470211,0.927474532,0.707489632,0.601965602,0.668854114,0.71179344,0.692607984,0.841772984,0.669757857,0.615542447,0.629485081,0.613346418,0.613866153,0.552486188,0.593106535,0.465116279,0.264577185,0.309405941,0.249783841,0.256591754,0.349222979,NA
Bangladesh,BGD,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,838000000,796000000,608000000,847000000,372000000,739000000,719000000,865000000,833000000,749000000,993000000,749000000,749000000,749000000,749000000,749000000,749000000,950000000,417000000,729000000,872000000,NA
Brazil,BRA,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,2.22E+11,2.28E+11,2.40E+11,2.48E+11,2.59E+11,2.73E+11,2.86E+11,2.99E+11,3.01E+11,3.12E+11,2.77E+11,2.96E+11,3.18E+11,3.33E+11,3.51E+11,3.64E+11,3.93E+11,3.90E+11,4.15E+11,4.37E+11,4.63E+11,NA
China,CHN,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,1.25E+11,1.32E+11,1.52E+11,1.68E+11,1.94E+11,1.89E+11,1.99E+11,2.11E+11,2.07E+11,2.25E+11,2.81E+11,2.91E+11,2.87E+11,3.57E+11,4.04E+11,4.47E+11,5.01E+11,6.15E+11,6.64E+11,7.93E+11,8.03E+11,NA
Ethiopia,ETH,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,1082000000,1151000000,1263000000,1354000000,1428000000,1510000000,1566000000,1605000000,1625000000,1651000000,1993000000,2023000000,2280000000,2521000000,2833000000,3259000000,3385000000,3310000000,3548000000,4949000000,5128000000,NA
France,FRA,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,59774000000,71157000000,66951000000,81042000000,75321000000,68578000000,66539000000,64843000000,75515000000,70272000000,78163000000,64450000000,63320000000,64308000000,56629000000,62232000000,66298000000,73760000000,69785000000,78092000000,64789000000,81237000000
Germany,DEU,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,16979000000,19735000000,20520000000,23433000000,25932000000,26551000000,23062000000,24902000000,28717000000,35475000000,37895000000,44477000000,46438000000,56500000000,61625000000,70487000000,87561000000,90311000000,93991000000,1.04E+11,1.23E+11,1.37E+11
India,IND,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,72814000000,69974000000,70577000000,82927000000,73126000000,69858000000,75704000000,84136000000,83339000000,77500000000,77770000000,68645000000,80809000000,91126000000,1.10E+11,1.25E+11,1.47E+11,1.39E+11,1.42E+11,1.57E+11,1.83E+11,NA
Indonesia,IDN,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,7676000000,9896000000,8978000000,8041000000,9745000000,10518000000,7716000000,12303000000,12134000000,14891000000,17694000000,16182000000,15408000000,16350000000,17351000000,16313000000,18343000000,19884000000,20742000000,26907000000,21989000000,NA
"Iran, Islamic Rep.",IRN,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,7056000000,9530000000,9823000000,7445000000,7288000000,7392000000,6929000000,7040000000,4943000000,3687000000,5091000000,8080000000,11125000000,10674000000,16171000000,18391000000,18130000000,5199000000,7460000000,9695000000,12277000000,NA
Israel,ISR,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,6000000,29000000,26000000,23000000,25000000,24000000,25000000,25000000,33000000,31000000,20000000,32000000,43000000,39000000,39000000,25000000,24000000,25000000,97000000,145000000,267000000,270000000
Japan,JPN,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,1.09E+11,94414000000,1.07E+11,79791000000,96524000000,95850000000,1.06E+11,1.09E+11,1.03E+11,1.04E+11,1.01E+11,1.00E+11,1.14E+11,1.15E+11,1.01E+11,1.13E+11,1.01E+11,1.03E+11,1.04E+11,1.24E+11,1.27E+11,1.21E+11
Nigeria,NGA,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,5931000000,6059000000,5572000000,5562000000,5500000000,5500000000,5593000000,5775000000,6148000000,5628000000,5909000000,8234000000,7448000000,8108000000,7768000000,6263000000,6227000000,5721000000,4529000000,6374000000,5650000000,NA
Pakistan,PAK,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,18303000000,21112000000,19436000000,22858000000,23206000000,20858000000,22060000000,22449000000,19288000000,17194000000,18941000000,22351000000,26944000000,25671000000,30862000000,31953000000,28707000000,27784000000,28093000000,31811000000,28517000000,NA
Saudi Arabia,SAU,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Somalia,SOM,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,3116000000,2900000000,3796000000,4089000000,4452000000,3252000000,3447000000,3915000000,4173000000,3208000000,3120000000,2706000000,3310000000,2976000000,3471000000,4655000000,3967000000,4156000000,3947000000,5737000000,4762000000,NA
Sweden,SWE,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,65109000000,76373000000,76871000000,61402000000,70556000000,54003000000,72033000000,78098000000,74747000000,83140000000,83321000000,71145000000,58731000000,68176000000,81232000000,71071000000,77428000000,81406000000,79804000000,82101000000,84059000000,96511000000
United Kingdom,GBR,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,5323000000,6405000000,5718000000,6955000000,6871000000,5685000000,6946000000,8649000000,9616000000,9970000000,9549000000,11128000000,10627000000,14146000000,16937000000,18105000000,19688000000,21920000000,25260000000,25844000000,34408000000,41141000000
United States,USA,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,3.50E+11,3.24E+11,3.56E+11,3.36E+11,3.84E+11,4.23E+11,4.03E+11,3.66E+11,3.51E+11,3.30E+11,2.60E+11,3.48E+11,3.60E+11,3.58E+11,3.66E+11,3.95E+11,3.62E+11,3.91E+11,4.29E+11,4.41E+11,5.29E+11,5.19E+11
Zambia,ZMB,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,8982000000,6516000000,8140000000,8091000000,7871000000,7114000000,7886000000,7539000000,7712000000,7750000000,7893000000,8102000000,8257000000,8460000000,8883000000,9844000000,9801000000,9666000000,10383000000,11273000000,11414000000,NA
Bangladesh,BGD,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,6.472654047,6.441400186,6.38144037,6.359475289,6.133022482,6.378789194,6.435037102,6.499348915,6.722805764,6.759989756,6.542372225,6.655835536,6.696653199,6.85126304,6.859849723,6.891799577,6.978264875,7.078718404,7.16191014,7.195271189,7.545886667,NA
Brazil,BRA,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,7.629691656,7.51566357,7.674236413,7.678811052,7.752455466,7.519211828,7.397441579,7.226694112,7.084585806,7.360026178,7.328939942,7.329628134,7.293791301,7.304332873,7.349777004,7.383811724,7.413277813,7.384571259,7.609172372,7.400050824,7.485693803,NA
China,CHN,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,1.609072253,1.777122663,1.912547885,2.065266205,2.13313315,2.282962509,2.497485178,2.673919148,2.82281481,2.900122964,3.073497773,3.173911999,3.066436333,2.939062419,3.020960535,3.117940546,3.376676304,3.56785417,3.614349213,3.624637132,3.655278946,NA
Ethiopia,ETH,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,1.188872712,1.129628014,1.227709935,1.220937698,1.250795507,1.361398664,1.367736952,1.283250133,1.315709892,1.356288899,1.416738305,1.400947631,1.331957877,1.473872326,1.616322061,1.744965018,1.891980152,2.033087058,2.15082238,2.302554272,2.411606699,NA
France,FRA,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,6.035439142,6.232349319,6.089339559,6.470548141,6.339712566,6.063548809,6.39155611,6.421064272,6.643285723,6.819162459,6.715567544,6.76192939,6.702205925,6.773470164,6.874678082,7.146361859,7.399852175,7.35866635,7.445777564,7.351225495,7.747352745,7.782931213
Germany,DEU,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,6.276654039,6.518553696,6.517022272,6.710659563,6.750075155,6.582371992,6.754607918,6.922188482,7.215847975,7.400269534,7.293589466,7.469406815,7.451987942,7.48086358,7.65546951,7.814980685,8.308956766,8.300688984,8.411092752,8.310306861,9.083102267,9.276217986
India,IND,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,3.242292163,3.288903014,3.368114314,3.458310413,3.524369669,3.672005755,3.67679234,3.811254191,3.907026383,3.978515499,4.1048687,4.144676666,4.361169726,4.437826944,4.668037954,4.850537688,4.99585169,4.958206597,4.874923551,5.186571002,5.341184281,NA
Indonesia,IDN,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,3.898230459,4.009699148,3.915253192,4.205014394,4.132626022,4.292685981,4.348128393,3.861607735,3.713300861,3.616676632,3.649514641,3.676884071,3.841316891,3.785664512,3.929321362,4.04923969,4.325970241,4.494689575,4.392571249,4.41168626,4.74944275,NA
"Iran, Islamic Rep.",IRN,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,4.983895349,4.935889093,4.512071407,4.050002302,3.972283903,4.410722235,4.075074712,4.111259984,3.694924104,3.986278302,3.808847917,3.959338457,4.103153698,3.9541806,3.731699202,3.780637499,3.854539405,3.617073513,3.599101513,3.860746525,3.949059433,NA
Israel,ISR,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,7.793101926,7.162023043,7.211643344,7.229799382,7.343818117,7.533570653,7.384722691,7.502969739,7.968431118,8.006039099,7.608879831,7.699771422,7.451197671,8.010851089,8.753699973,8.380494742,8.822019081,8.341562062,8.998473427,8.798078542,9.176995441,9.159586805
Japan,JPN,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,7.623486095,7.509511531,7.472195558,7.135383503,7.083992934,7.113763029,7.15095963,7.136168297,6.995576244,7.062483876,7.200996204,7.227514338,7.409602141,7.348610081,7.472198381,7.609416882,7.845800555,8.075137541,8.003312305,7.923906453,8.521072224,8.879579557
Nigeria,NGA,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,1.961113238,1.943503513,1.954097363,2.000742352,2.015424214,2.017815065,1.985440158,2.019499803,1.971132234,2.005946259,1.979894136,1.953667544,2.119668196,2.281137217,2.29690488,2.428273296,2.581202829,2.655700411,2.891058302,2.9584207,3.074248531,NA
Pakistan,PAK,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,4.327709279,4.377733264,4.23768255,4.222572958,4.243509454,4.227677783,4.15988049,4.175589496,4.099460993,4.162545027,4.178279822,4.268116662,4.284788744,4.295074844,4.463778973,4.553282474,4.533760802,4.694768184,4.760912632,4.773465944,4.875612918,NA
Saudi Arabia,SAU,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,4.820228108,4.430052677,4.336236692,4.085219924,4.04515042,3.933653139,4.210131375,4.075051874,3.967289182,3.967598426,3.789880405,3.460650515,3.610709088,3.312722027,3.508308302,3.407255014,3.964886516,4.020940215,3.591062035,3.529939719,3.933532588,NA
Somalia,SOM,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,6.449565659,6.56207064,6.653775319,7.316888474,7.547839236,6.935592608,7.121346904,7.334406551,7.163429215,6.894676818,7.021716446,7.167477535,7.170386963,7.461161584,7.748228946,8.266607139,8.658765293,9.501712063,9.686122371,9.65227694,9.870563961,NA
Sweden,SWE,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,4.268159798,4.413666761,4.326057158,4.210442445,4.321255296,4.291505757,4.524009498,4.631880515,4.936489381,5.437445005,5.181834352,5.182121354,5.425285787,5.443158748,5.726186997,6.134291051,6.356234964,6.375617697,6.614448877,6.236587083,6.71668061,6.802261468
United Kingdom,GBR,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,5.949984713,6.047643291,6.198860164,6.459885074,6.67342975,6.621347685,7.108630868,7.288078237,7.483392872,7.778322786,7.918775703,8.303286749,8.484482347,8.774348806,9.014241198,9.418138378,10.10877614,10.16511162,10.21472718,10.10930424,10.96987253,10.75125354
United States,USA,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,4.259200077,4.323886131,4.365931328,4.459439163,4.522822351,4.592493547,4.75052596,4.920047092,5.02262741,5.084515695,5.230569732,5.264150146,5.398639062,5.490365919,5.64734127,5.853910737,5.855867664,5.992664436,6.12767547,6.1365918,6.31928634,6.673826203
Zambia,ZMB,GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,1.762898087,1.701889126,1.811824757,1.641968023,1.568691655,1.692053626,1.675971193,1.628695227,1.662572514,1.679836741,1.710983144,1.71373991,1.750071794,1.79808572,1.839480907,1.906026428,2.022630626,2.077070927,2.146189152,2.249128829,2.286905766,NA
Bangladesh,BGD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,44.67431319,46.73006556,49.44651274,50.24063385,54.39981934,56.06779834,56.5643321,57.59534462,57.26529057,58.72820688,61.27090052,61.70997794,62.79084644,63.62668558,65.14715619,66.75247422,68.01511208,69.0637549,70.24412076,71.41159579,71.52585831,NA
Brazil,BRA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,51.95456955,52.68446796,53.26430766,53.26589496,54.60827471,56.2673826,56.68114903,57.34050837,57.28865329,58.23205891,58.94968063,57.15398579,54.64129448,54.69829698,54.25238988,53.42292261,52.66063159,52.56608765,51.31613842,53.4804652,54.56668309,NA
China,CHN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,74.83171626,75.43180574,76.4686595,77.04314873,78.42398261,78.98276603,78.91790688,78.9768265,79.3880694,80.28622008,80.27804093,81.08339585,83.05925174,84.74553562,85.56101088,86.47909611,86.74829012,86.62364978,87.17762853,87.68823678,88.30257161,NA
